start,end,name,index
13.0,39.778,study,7
39.778,88.823,hall,3
88.823,468.222,living,5
468.222,475.393,hall,3
475.393,725.146,kitchen,4
725.146,739.254,hall,3
739.254,969.382,living,5
969.382,977.403,hall,3
977.403,1071.02,kitchen,4
1071.02,1090.475,hall,3
1090.475,1425.659,bed2,2
1425.659,1425.744,hall,3
1425.744,1434.137,stairs,6
1434.137,1502.268,toilet,8
1502.268,1513.564,stairs,6
1513.564,1543.965,bed1,1
1543.965,1556.123,stairs,6
1556.123,1723.074,bath,0
1723.074,1730.795,hall,3
1730.795,1763.483,living,5
1763.537,1775.322,hall,3
1775.322,1791.32,study,7
