start,end,name,index
13.0,36.555,p_stand,10
36.555,42.07,a_walk,4
42.07,79.57,p_stand,10
79.57,79.74,t_turn,19
79.74,86.47,p_stand,10
86.47,89.85,a_walk,4
89.85,90.38,t_turn,19
90.38,91.08,p_stand,10
91.08,91.615,t_turn,19
91.615,97.365,p_stand,10
97.365,99.635,a_walk,4
99.635,99.85,p_stand,10
99.85,102.1,a_jump,2
102.1,105.07,p_stand,10
105.07,108.07,a_walk,4
108.07,108.45,p_stand,10
108.45,110.0,t_turn,19
110.0,112.91,a_walk,4
112.91,116.57,p_stand,10
116.57,117.85,t_turn,19
117.85,120.41,a_walk,4
120.41,120.53,p_stand,10
120.53,121.79,a_walk,4
121.79,123.41,t_turn,19
123.41,125.61,p_stand,10
125.61,127.01,a_walk,4
127.01,129.81,p_stand,10
129.81,130.4,t_turn,19
130.4,135.685,p_stand,10
135.685,137.7,t_turn,19
137.7,145.735,p_stand,10
145.735,147.07,t_bend,11
147.07,150.395,p_bent,5
150.395,151.78,t_straighten,18
151.78,157.34,p_stand,10
157.34,160.145,t_stand_kneel,16
160.145,163.51,p_kneel,6
163.51,164.54,t_kneel_stand,12
164.54,169.98,p_stand,10
169.98,172.91,a_walk,4
172.91,174.02,t_stand_sit,17
174.02,179.475,p_sit,8
179.475,180.515,t_sit_lie,14
180.515,184.03,p_lie,7
184.03,185.765,t_turn,19
185.765,189.805,p_lie,7
189.805,193.06,t_turn,19
193.06,197.86,p_lie,7
197.86,199.21,t_lie_sit,13
199.21,205.13,p_sit,8
205.13,206.82,t_sit_stand,15
206.82,218.97,p_stand,10
218.97,219.71,a_walk,4
219.71,219.82,p_stand,10
219.82,221.32,t_bend,11
221.32,222.705,p_bent,5
222.705,223.72,t_straighten,18
223.72,227.415,p_stand,10
227.415,229.69,t_stand_kneel,16
229.69,232.335,p_kneel,6
232.335,233.675,t_kneel_stand,12
233.675,237.495,p_stand,10
237.495,238.61,t_turn,19
238.61,240.35,a_walk,4
240.35,241.38,t_stand_sit,17
241.38,243.89,p_sit,8
243.89,245.535,t_sit_lie,14
245.535,249.72,p_lie,7
249.72,251.275,t_turn,19
251.275,255.4,p_lie,7
255.4,256.31,t_turn,19
256.31,262.235,p_lie,7
262.235,263.04,t_lie_sit,13
263.04,267.655,p_sit,8
267.655,269.365,t_sit_stand,15
269.365,271.045,a_walk,4
271.045,277.48,p_stand,10
277.48,277.86,a_walk,4
277.86,278.635,t_bend,11
278.635,281.6,p_bent,5
281.6,282.4,t_straighten,18
282.4,284.655,a_walk,4
284.655,286.96,p_stand,10
286.96,288.22,t_stand_kneel,16
288.22,292.53,p_kneel,6
292.53,294.225,t_kneel_stand,12
294.225,298.325,p_stand,10
298.325,299.49,t_turn,19
299.49,301.475,a_walk,4
301.475,302.065,t_stand_sit,17
302.065,305.885,p_sit,8
305.885,307.166,t_sit_lie,14
307.166,312.178,p_lie,7
312.178,315.523,t_turn,19
315.523,318.178,p_lie,7
318.178,319.774,t_turn,19
319.774,325.601,p_lie,7
325.601,327.13,t_lie_sit,13
327.13,331.907,p_sit,8
331.907,332.985,t_sit_stand,15
332.985,333.633,a_walk,4
333.633,340.008,p_stand,10
340.008,341.103,a_walk,4
341.103,341.216,p_stand,10
341.216,341.567,t_bend,11
341.567,344.46,p_bent,5
344.46,345.394,t_straighten,18
345.394,349.995,p_stand,10
349.995,351.43,t_stand_kneel,16
351.43,355.656,p_kneel,6
355.656,357.127,t_kneel_stand,12
357.127,361.276,p_stand,10
361.276,362.14,t_turn,19
362.14,363.973,a_walk,4
363.973,364.998,t_stand_sit,17
364.998,367.397,p_sit,8
367.397,369.106,t_sit_lie,14
369.106,372.695,p_lie,7
372.695,373.38,t_turn,19
373.38,378.529,p_lie,7
378.529,379.946,t_turn,19
379.946,384.953,p_lie,7
384.953,387.256,t_lie_sit,13
387.256,391.263,p_sit,8
391.263,392.126,t_sit_stand,15
392.126,393.597,a_walk,4
393.597,399.796,p_stand,10
399.796,401.582,a_walk,4
401.582,402.498,t_bend,11
402.498,405.087,p_bent,5
405.087,406.111,t_straighten,18
406.111,410.528,p_stand,10
410.528,412.409,t_stand_kneel,16
412.409,415.968,p_kneel,6
415.968,417.135,t_kneel_stand,12
417.135,421.486,p_stand,10
421.486,422.814,t_turn,19
422.814,424.374,a_walk,4
424.374,425.13,t_stand_sit,17
425.13,428.625,p_sit,8
428.625,429.595,t_sit_lie,14
429.595,433.696,p_lie,7
433.696,434.511,t_turn,19
434.511,439.38,p_lie,7
439.38,440.434,t_turn,19
440.434,445.613,p_lie,7
445.613,447.292,t_lie_sit,13
447.292,452.292,p_sit,8
452.292,453.786,t_sit_stand,15
453.786,454.417,a_walk,4
454.417,457.965,p_stand,10
457.965,458.804,t_turn,19
458.804,461.037,p_stand,10
461.037,462.12,t_turn,19
462.12,463.87,a_walk,4
463.87,467.418,p_stand,10
467.418,471.995,a_walk,4
471.995,474.501,a_descend,1
474.501,476.781,p_stand,10
476.781,477.532,a_descend,1
477.532,481.556,a_walk,4
481.556,483.003,p_stand,10
483.003,487.652,t_turn,19
487.652,496.522,p_stand,10
496.522,497.445,t_turn,19
497.445,499.558,a_walk,4
499.558,500.481,p_stand,10
500.481,501.082,t_bend,11
501.082,502.047,p_bent,5
502.047,502.464,t_straighten,18
502.464,504.523,p_stand,10
504.523,505.535,a_walk,4
505.535,510.874,p_stand,10
510.874,512.023,a_walk,4
512.023,512.988,p_stand,10
512.988,513.691,t_bend,11
513.691,514.244,p_bent,5
514.244,515.107,t_straighten,18
515.107,515.697,t_turn,19
515.697,518.423,a_walk,4
518.423,521.286,p_stand,10
521.286,521.971,a_walk,4
521.971,534.35,p_stand,10
534.35,535.195,t_turn,19
535.195,539.445,p_stand,10
539.445,540.612,t_turn,19
540.612,546.838,p_stand,10
546.838,547.487,t_turn,19
547.487,547.784,p_stand,10
547.784,548.791,t_turn,19
548.791,549.458,a_walk,4
549.458,554.024,p_stand,10
554.024,556.316,t_turn,19
556.316,571.904,p_stand,10
571.904,572.249,a_walk,4
572.249,578.964,p_stand,10
578.964,579.708,t_turn,19
579.708,580.428,a_walk,4
580.428,582.785,p_stand,10
582.785,583.666,t_turn,19
583.666,584.434,a_walk,4
584.434,601.57,p_stand,10
601.57,602.243,t_turn,19
602.243,604.576,p_stand,10
604.576,606.029,t_turn,19
606.029,606.618,a_walk,4
606.618,607.035,p_stand,10
607.035,609.976,t_turn,19
609.976,612.743,p_stand,10
612.743,615.065,a_loadwalk,3
615.065,615.684,t_bend,11
615.684,616.631,p_bent,5
616.631,617.375,t_straighten,18
617.375,619.56,a_walk,4
619.56,620.775,p_stand,10
620.775,621.99,t_turn,19
621.99,623.067,p_stand,10
623.067,623.966,t_turn,19
623.966,624.507,p_stand,10
624.507,625.406,t_turn,19
625.406,632.855,p_stand,10
632.855,633.474,t_turn,19
633.475,637.053,p_stand,10
637.053,637.648,a_walk,4
637.648,642.577,p_stand,10
642.577,643.535,t_turn,19
643.535,643.672,p_stand,10
643.672,644.237,a_walk,4
644.237,651.237,p_stand,10
651.237,656.35,p_stand,10
656.35,656.839,t_turn,19
656.839,657.928,p_stand,10
657.928,658.565,t_turn,19
658.565,665.184,p_stand,10
665.184,665.732,t_turn,19
665.732,666.464,p_stand,10
666.464,667.916,t_turn,19
667.916,668.303,p_stand,10
668.303,668.833,t_turn,19
668.833,707.594,p_stand,10
707.594,711.868,p_stand,10
711.868,716.844,p_stand,10
716.844,717.922,t_turn,19
717.922,721.892,a_walk,4
721.892,722.886,a_ascend,0
722.886,723.928,t_turn,19
723.928,724.22,p_stand,10
724.22,726.308,a_ascend,0
726.308,739.517,a_walk,4
739.517,740.928,t_turn,19
740.928,741.571,p_stand,10
741.571,743.548,a_walk,4
743.548,744.101,p_stand,10
744.101,745.108,t_bend,11
745.108,746.656,p_bent,5
746.656,747.799,t_straighten,18
747.799,749.204,a_walk,4
749.204,752.871,p_stand,10
752.871,754.3,t_turn,19
754.3,757.591,a_walk,4
757.591,759.698,t_stand_sit,17
759.698,770.814,p_sit,8
770.814,771.439,t_sit_stand,15
771.439,771.797,a_walk,4
771.797,772.476,t_stand_sit,17
772.476,783.732,p_sit,8
783.732,784.691,t_turn,19
784.691,818.844,p_sit,8
818.844,820.035,t_turn,19
820.035,821.536,p_sit,8
821.536,822.262,t_turn,19
822.262,822.643,p_sit,8
822.649,823.364,t_turn,19
823.364,823.656,p_sit,8
823.656,824.555,t_turn,19
824.555,827.037,p_sit,8
827.037,951.862,p_sit,8
951.862,954.601,t_sit_stand,15
954.601,956.398,t_turn,19
956.398,958.619,p_stand,10
958.619,959.291,t_bend,11
959.291,961.13,p_bent,5
961.13,962.761,t_straighten,18
962.761,964.356,a_walk,4
964.356,968.862,p_stand,10
968.862,970.1,a_walk,4
970.1,971.839,t_turn,19
