start,end,name,index
6.232,11.009,stairs,6
3.772,12.489,study,7
14.68,15.904,stairs,6
13.76,23.612,kitchen,4
15.062,25.619,study,7
25.073,26.322,stairs,6
29.077,35.027,living,5
45.031,54.305,living,5
55.099,75.027,living,5
77.939,86.947,living,5
96.213,106.21,living,5
125.012,133.897,living,5
135.014,135.57,living,5
139.075,156.219,living,5
181.855,185.03,living,5
189.076,195.013,living,5
206.209,215.576,living,5
225.021,227.058,living,5
245.03,255.011,living,5
265.017,265.159,living,5
291.307,295.012,living,5
325.754,335.026,living,5
349.076,355.015,living,5
359.091,375.013,living,5
375.568,379.077,living,5
385.011,394.789,kitchen,4
395.034,412.085,kitchen,4
415.039,426.832,kitchen,4
439.781,440.066,bed1,1
445.013,455.011,kitchen,4
457.213,475.025,kitchen,4
495.019,505.021,kitchen,4
507.117,515.01,kitchen,4
555.015,570.06,kitchen,4
579.077,585.014,kitchen,4
606.844,610.061,kitchen,4
615.011,629.133,kitchen,4
637.024,645.012,living,5
655.015,665.013,living,5
858.922,875.012,living,5
895.013,895.568,kitchen,4
900.064,915.58,kitchen,4
932.06,935.062,kitchen,4
945.023,971.841,kitchen,4
975.017,981.834,kitchen,4
993.784,995.02,stairs,6
999.637,1001.074,stairs,6
1009.727,1019.725,bed2,2
1025.89,1031.075,bed2,2
1034.877,1035.02,bed2,2
1039.732,1041.991,bed2,2
1045.022,1049.729,bed2,2
1059.743,1065.029,bed2,2
1094.942,1095.019,bed2,2
1101.076,1105.068,bed2,2
1108.169,1118.169,bed2,2
1119.725,1125.885,bed2,2
1151.835,1158.168,bed2,2
1165.01,1174.097,bed2,2
1182.895,1182.971,bed2,2
1210.182,1222.924,bed2,2
1223.109,1233.402,bed2,2
1242.922,1245.013,bed2,2
1272.93,1276.211,bed2,2
1280.169,1284.267,bed2,2
1292.921,1295.904,bed2,2
1302.922,1305.02,bed2,2
1332.935,1339.733,bed2,2
1349.354,1351.81,stairs,6
1346.742,1360.178,bed2,2
1352.929,1365.019,toilet,8
1384.122,1393.836,toilet,8
1420.166,1422.921,stairs,6
1418.922,1423.85,toilet,8
1433.833,1434.985,bed1,1
1432.927,1435.066,stairs,6
1440.166,1450.202,bed1,1
1452.921,1460.167,bed1,1
1463.114,1472.728,stairs,6
1476.24,1492.921,bath,0
1495.015,1500.168,bath,0
1509.486,1510.166,bath,0
1512.935,1529.801,bath,0
1530.167,1532.92,bath,0
1546.211,1549.406,bed2,2
1550.165,1552.917,bath,0
1579.095,1580.166,bath,0
1586.45,1593.122,bath,0
1609.717,1610.179,stairs,6
1612.921,1629.726,living,5
1637.962,1652.92,living,5
1656.231,1657.887,living,5
1669.73,1675.014,kitchen,4
1683.835,1687.907,stairs,6
