start,end,name,index
7.52,21.26,study,7
21.29,26.7,hall,3
26.735,337.11,living,5
337.125,341.9,hall,3
341.905,550.56,kitchen,4
550.596,555.235,hall,3
555.271,825.081,living,5
825.097,830.984,hall,3
830.984,900.427,kitchen,4
900.442,913.599,stairs,6
913.626,1217.447,bed2,2
1217.452,1223.132,stairs,6
1223.179,1274.349,toilet,8
1274.354,1284.696,stairs,6
1284.706,1311.766,bed1,1
1311.781,1319.513,stairs,6
1319.539,1453.989,bath,0
1454.035,1460.906,hall,3
1460.968,1497.263,living,5
1497.294,1501.078,hall,3
1501.109,1511.98,study,7
