t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
0.025952,0.936,-0.304,0.086,-84.0,,-98.0,-71.0
0.076,0.92,-0.304,0.092,-84.0,,-98.0,-71.0
0.126856,0.934,-0.314,0.088,-98.0,,-97.0,-70.0
0.176904,0.95,-0.314,0.072,-98.0,,-97.0,-70.0
0.226952,0.93,-0.298,0.076,-98.0,,-97.0,-70.0
0.277,0.934,-0.296,0.08,-98.0,,-97.0,-70.0
0.326856,0.934,-0.318,0.07,-83.0,,-97.0,-71.0
0.376904,0.93,-0.318,0.08,-83.0,,-97.0,-71.0
0.426952,0.92,-0.314,0.092,-83.0,,-97.0,-71.0
0.477,0.934,-0.32,0.076,-83.0,,-97.0,-71.0
0.526856,0.94,-0.318,0.076,-83.0,,-95.0,-72.0
0.576904,0.936,-0.328,0.082,-83.0,,-95.0,-72.0
0.626952,0.934,-0.334,0.078,-83.0,,-95.0,-72.0
0.677,0.942,-0.322,0.082,-83.0,,-95.0,-72.0
0.726856,0.928,-0.318,0.092,-95.0,,-95.0,-72.0
0.776904,0.932,-0.318,0.07,-95.0,,-95.0,-72.0
0.826952,0.926,-0.314,0.07,-95.0,,-95.0,-72.0
0.877,0.946,-0.318,0.068,-95.0,,-95.0,-72.0
0.926856,0.936,-0.316,0.062,-97.0,,-95.0,-72.0
0.976904,0.928,-0.306,0.07,-97.0,,-95.0,-72.0
1.026952,0.946,-0.312,0.08,-97.0,,-95.0,-72.0
1.077,0.936,-0.324,0.086,-97.0,,-95.0,-72.0
1.127856,0.934,-0.318,0.064,-98.0,,-95.0,-72.0
1.177904,0.926,-0.33,0.088,-98.0,,-95.0,-72.0
1.227952,0.926,-0.296,0.08,-98.0,,-95.0,-72.0
1.278,0.944,-0.314,0.082,-98.0,,-95.0,-72.0
1.327856,0.926,-0.296,0.062,-84.0,,-95.0,-72.0
1.377904,0.944,-0.304,0.092,-84.0,,-95.0,-72.0
1.427952,0.948,-0.306,0.07,-84.0,,-95.0,-72.0
1.478,0.934,-0.318,0.078,-84.0,,-95.0,-72.0
1.527856,0.936,-0.298,0.072,-84.0,,-98.0,-71.0
1.577904,0.934,-0.312,0.094,-84.0,,-98.0,-71.0
1.627952,0.944,-0.306,0.078,-84.0,,-98.0,-71.0
1.678,0.926,-0.314,0.078,-84.0,,-98.0,-71.0
1.727856,0.934,-0.312,0.064,-97.0,,-98.0,-71.0
1.777904,0.944,-0.322,0.078,-97.0,,-98.0,-71.0
1.827952,0.934,-0.318,0.07,-97.0,,-98.0,-71.0
1.878,0.944,-0.308,0.064,-97.0,,-98.0,-71.0
1.927856,0.942,-0.306,0.08,-84.0,,-98.0,-70.0
1.977904,0.93,-0.314,0.072,-84.0,,-98.0,-70.0
2.027952,0.936,-0.314,0.062,-84.0,,-98.0,-70.0
2.078,0.95,-0.318,0.078,-84.0,,-98.0,-70.0
2.128856,0.944,-0.306,0.078,-97.0,,-96.0,-69.0
2.178904,0.946,-0.312,0.062,-97.0,,-96.0,-69.0
2.228952,0.936,-0.32,0.066,-97.0,,-96.0,-69.0
2.279,0.94,-0.328,0.064,-97.0,,-96.0,-69.0
2.328856,0.926,-0.322,0.076,-96.0,,-94.0,-70.0
2.378904,0.934,-0.308,0.07,-96.0,,-94.0,-70.0
2.428952,0.934,-0.3,0.062,-96.0,,-94.0,-70.0
2.479,0.944,-0.298,0.07,-96.0,,-94.0,-70.0
2.528856,0.944,-0.302,0.07,-101.0,,-103.0,-82.0
2.578904,0.952,-0.296,0.062,-101.0,,-103.0,-82.0
2.628952,0.944,-0.304,0.078,-101.0,,-103.0,-82.0
2.679,0.942,-0.296,0.076,-101.0,,-103.0,-82.0
2.728856,0.936,-0.302,0.078,-83.0,,-97.0,-70.0
2.778904,0.936,-0.308,0.07,-83.0,,-97.0,-70.0
2.828952,0.944,-0.304,0.06,-83.0,,-97.0,-70.0
2.879,0.95,-0.306,0.072,-83.0,,-97.0,-70.0
2.928856,0.944,-0.308,0.064,-82.0,,-103.0,-70.0
2.978904,0.942,-0.302,0.078,-82.0,,-103.0,-70.0
3.028952,0.934,-0.306,0.07,-82.0,,-103.0,-70.0
3.079,0.936,-0.298,0.072,-82.0,,-103.0,-70.0
3.129856,0.928,-0.298,0.07,-82.0,,-98.0,-70.0
3.179904,0.942,-0.288,0.08,-82.0,,-98.0,-70.0
3.229952,0.93,-0.302,0.07,-82.0,,-98.0,-70.0
3.28,0.926,-0.312,0.072,-82.0,,-98.0,-70.0
3.329856,0.934,-0.314,0.076,-83.0,,-98.0,-70.0
3.379904,0.94,-0.302,0.08,-83.0,,-98.0,-70.0
3.429952,0.93,-0.296,0.07,-83.0,,-98.0,-70.0
3.48,0.946,-0.314,0.08,-83.0,,-98.0,-70.0
3.529856,0.942,-0.312,0.068,-83.0,,-98.0,-70.0
3.579904,0.934,-0.306,0.078,-83.0,,-98.0,-70.0
3.629952,0.938,-0.306,0.078,-83.0,,-98.0,-70.0
3.68,0.94,-0.302,0.08,-83.0,,-98.0,-70.0
3.729856,0.936,-0.304,0.07,-100.0,,-98.0,-70.0
3.779904,0.93,-0.32,0.062,-100.0,,-98.0,-70.0
3.829952,0.952,-0.32,0.062,-100.0,,-98.0,-70.0
3.88,0.944,-0.32,0.082,-100.0,,-98.0,-70.0
3.929856,0.934,-0.314,0.072,-82.0,,-95.0,-70.0
3.979904,0.94,-0.312,0.062,-82.0,,-95.0,-70.0
4.029952,0.948,-0.314,0.068,-82.0,,-95.0,-70.0
4.08,0.946,-0.328,0.078,-82.0,,-95.0,-70.0
4.129856,0.946,-0.32,0.07,-89.0,,-94.0,-68.0
4.179904,0.912,-0.328,0.06,-89.0,,-94.0,-68.0
4.229952,0.912,-0.334,0.054,-89.0,,-94.0,-68.0
4.28,0.896,-0.338,0.048,-89.0,,-94.0,-68.0
4.330856,0.898,-0.346,0.046,-84.0,,,-68.0
4.380904,0.914,-0.362,0.044,-84.0,,,-68.0
4.430952,0.904,-0.324,0.048,-84.0,,,-68.0
4.481,0.924,-0.314,0.034,-84.0,,,-68.0
4.530856,0.946,-0.292,0.022,-86.0,,-95.0,-68.0
4.580904,0.958,-0.264,0.038,-86.0,,-95.0,-68.0
4.630952,0.968,-0.232,0.108,-86.0,,-95.0,-68.0
4.681,1.0,-0.218,0.168,-86.0,,-95.0,-68.0
4.730856,0.976,-0.28,0.182,-93.0,,-92.0,-70.0
4.780904,0.974,-0.268,0.13,-93.0,,-92.0,-70.0
4.830952,1.008,-0.336,0.16,-93.0,,-92.0,-70.0
4.881,0.902,-0.392,0.12,-93.0,,-92.0,-70.0
4.930856,0.886,-0.346,0.112,,,-99.0,-70.0
4.980904,0.834,-0.336,0.1,,,-99.0,-70.0
5.030952,0.862,-0.314,0.088,,,-99.0,-70.0
