t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
0.043952,-0.632,0.684,0.312,-76.0,,-75.0,-78.0
0.094,-0.644,0.664,0.306,-76.0,,-75.0,-78.0
0.143856,-0.64,0.67,0.306,-76.0,,-75.0,-78.0
0.193904,-0.616,0.704,0.304,-76.0,,-75.0,-78.0
0.243952,-0.59,0.71,0.304,-76.0,,-75.0,-78.0
0.294,-0.608,0.696,0.296,-76.0,,-75.0,-78.0
0.343856,-0.628,0.674,0.304,-77.0,,-75.0,-80.0
0.393904,-0.622,0.678,0.306,-77.0,,-75.0,-80.0
0.443952,-0.61,0.688,0.3,-77.0,,-75.0,-80.0
0.494,-0.61,0.706,0.312,-77.0,,-75.0,-80.0
0.543856,-0.61,0.688,0.316,-77.0,,-75.0,-80.0
0.593904,-0.626,0.708,0.29,-77.0,,-75.0,-80.0
0.643952,-0.602,0.704,0.294,-77.0,,-75.0,-80.0
0.694,-0.61,0.7,0.312,-77.0,,-75.0,-80.0
0.744856,-0.616,0.704,0.294,-77.0,,-75.0,-82.0
0.794904,-0.606,0.702,0.302,-77.0,,-75.0,-82.0
0.844952,-0.61,0.696,0.304,-77.0,,-75.0,-82.0
0.895,-0.608,0.7,0.304,-77.0,,-75.0,-82.0
0.944856,-0.616,0.688,0.29,-77.0,,-75.0,-81.0
0.994904,-0.61,0.7,0.3,-77.0,,-75.0,-81.0
1.044952,-0.6,0.696,0.288,-77.0,,-75.0,-81.0
1.095,-0.612,0.696,0.3,-77.0,,-75.0,-81.0
1.144856,-0.608,0.704,0.288,-78.0,,-75.0,-82.0
1.194904,-0.61,0.696,0.29,-78.0,,-75.0,-82.0
1.244952,-0.61,0.704,0.294,-78.0,,-75.0,-82.0
1.295,-0.616,0.706,0.294,-78.0,,-75.0,-82.0
1.344856,-0.612,0.696,0.28,-78.0,,-75.0,-82.0
1.394904,-0.61,0.704,0.28,-78.0,,-75.0,-82.0
1.444952,-0.61,0.702,0.284,-78.0,,-75.0,-82.0
1.495,-0.622,0.71,0.286,-78.0,,-75.0,-82.0
1.544856,-0.61,0.718,0.27,-78.0,,-75.0,-82.0
1.594904,-0.612,0.71,0.286,-78.0,,-75.0,-82.0
1.644952,-0.602,0.72,0.294,-78.0,,-75.0,-82.0
1.695,-0.606,0.706,0.294,-78.0,,-75.0,-82.0
1.745856,-0.602,0.704,0.294,-78.0,,-75.0,-81.0
1.795904,-0.602,0.71,0.294,-78.0,,-75.0,-81.0
1.845952,-0.602,0.712,0.3,-78.0,,-75.0,-81.0
1.896,-0.602,0.704,0.296,-78.0,,-75.0,-81.0
1.945856,-0.602,0.7,0.284,-78.0,,-75.0,-79.0
1.995904,-0.604,0.71,0.294,-78.0,,-75.0,-79.0
2.045952,-0.596,0.704,0.294,-78.0,,-75.0,-79.0
2.096,-0.61,0.71,0.288,-78.0,,-75.0,-79.0
2.145856,-0.606,0.688,0.286,-77.0,,-75.0,-79.0
2.195904,-0.608,0.708,0.294,-77.0,,-75.0,-79.0
2.245952,-0.612,0.704,0.292,-77.0,,-75.0,-79.0
2.296,-0.616,0.704,0.284,-77.0,,-75.0,-79.0
2.345856,-0.612,0.71,0.304,-77.0,,-75.0,-78.0
2.395904,-0.612,0.71,0.3,-77.0,,-75.0,-78.0
2.445952,-0.606,0.71,0.296,-77.0,,-75.0,-78.0
